colors,language,type,text,flavor,title,raw_text
U,Portuguese (Brazil),Mágica Instantânea,Olhe os três cards do topo de seu grimório. Coloque um deles na sua mão e os restantes no fundo do seu grimório em qualquer ordem.,Prever o futuro é fácil quando se tem o poder de alterá-lo.,Antecipar,Antecipar - Olhe os três cards do topo de seu grimório. Coloque um deles na sua mão e os restantes no fundo do seu grimório em qualquer ordem. Prever o futuro é fácil quando se tem o poder de alterá-lo.
U,Portuguese (Brazil),Feitiço,"Convergir — Compre X cards, sendo X o número de cores de mana gasto para conjurar Espectro Brilhante. Depois, descarte dois cards.",Há mais para se ver em Zendikar do que os olhos podem perceber.,Espectro Brilhante,"Espectro Brilhante - Convergir — Compre X cards, sendo X o número de cores de mana gasto para conjurar Espectro Brilhante. Depois, descarte dois cards. Há mais para se ver em Zendikar do que os olhos podem perceber."
U,Portuguese (Brazil),Criatura — Peixe,Voar,"Quando os adoradores de Emeria descobriram que ela não passava de uma lembrança distorcida de Emrakul, abandonaram os templos de sua deusa. Os santuários desertos agora servem como áreas de procriação para as arraias.",Arraia das Nuvens,"Arraia das Nuvens - Voar Quando os adoradores de Emeria descobriram que ela não passava de uma lembrança distorcida de Emrakul, abandonaram os templos de sua deusa. Os santuários desertos agora servem como áreas de procriação para as arraias."
U,Portuguese (Brazil),Criatura — Tritão Batedor Aliado,{4}{U}: A criatura alvo não pode ser bloqueada neste turno.,"""Ela conhece cada canto dessa costa, tanto acima quanto abaixo da superfície, e tem esconderijos por todo o caminho. Ela vai fazer você chegar lá.""— Jori En, líder de expedição",Guia de Elmo de Coral,"Guia de Elmo de Coral - {4}{M}: A criatura alvo não pode ser bloqueada neste turno. ""Ela conhece cada canto dessa costa, tanto acima quanto abaixo da superfície, e tem esconderijos por todo o caminho. Ela vai fazer você chegar lá.""— Jori En, líder de expedição"
U,Portuguese (Brazil),Encantamento,As criaturas que seus oponentes controlam recebem -1/-0.,"""Agora fiquem quietos, vermes medonhos.""— Noyan Dar, mago do turbilhão de Tazeem",Pulso Amortecedor,"Pulso Amortecedor - As criaturas que seus oponentes controlam recebem -1/-0. ""Agora fiquem quietos, vermes medonhos.""— Noyan Dar, mago do turbilhão de Tazeem"
U,Portuguese (Brazil),Mágica Instantânea,Anule a mágica instantânea alvo.,"""Eu disse que devíamos destruir os Eldrazi. Ugin queria colocá-los novamente em estase. Os argumentos dele... não foram convincentes.""— Jace Beleren",Delir,"Delir - Anule a mágica instantânea alvo. ""Eu disse que devíamos destruir os Eldrazi. Ugin queria colocá-los novamente em estase. Os argumentos dele... não foram convincentes.""— Jace Beleren"
U,Portuguese (Brazil),Feitiço,Convergir — Ganhe o controle da criatura alvo se o poder dela for igual ou inferior ao número de cores de mana gasto para conjurar Exercer Influência.,"""Eu não posso controlar a mente dele — sequer tenho certeza de que ele possua uma. Mas eu posso dominar a vontade dele.""",Exercer Influência,"Exercer Influência - Convergir — Ganhe o controle da criatura alvo se o poder dela for igual ou inferior ao número de cores de mana gasto para conjurar Exercer Influência. ""Eu não posso controlar a mente dele — sequer tenho certeza de que ele possua uma. Mas eu posso dominar a vontade dele."""
U,Portuguese (Brazil),Criatura — Humano Mago Aliado,"Quando Convocadora das Marés de Halimar entra no campo de batalha, você pode devolver o card alvo com despertar do seu cemitério para a sua mão.As criaturas terreno que você controla têm voar.","""Acalmar as ondas? Por que eu faria isso?""",Convocadora das Marés de Halimar,"Convocadora das Marés de Halimar - Quando Convocadora das Marés de Halimar entra no campo de batalha, você pode devolver o card alvo com despertar do seu cemitério para a sua mão.As criaturas terreno que você controla têm voar. ""Acalmar as ondas? Por que eu faria isso?"""
U,Portuguese (Brazil),Mágica Instantânea,"Convergir — As criaturas que seus oponentes controlam recebem -X/-0 até o final do turno, sendo X o número de cores de mana gasto para conjurar Truque do Mago do Turbilhão.Compre um card.",O clima em Zendikar é imprevisível — a menos que seja você quem lhe diz o que fazer.,Truque do Mago do Turbilhão,"Truque do Mago do Turbilhão - Convergir — As criaturas que seus oponentes controlam recebem -X/-0 até o final do turno, sendo X o número de cores de mana gasto para conjurar Truque do Mago do Turbilhão.Compre um card. O clima em Zendikar é imprevisível — a menos que seja você quem lhe diz o que fazer."
U,Portuguese (Brazil),Encantamento — Aura,Encantar criaturaA criatura encantada recebe -6/-0 e perde voar.,"Depois de se dar ao trabalho de roubar um bidente de um deus em outro mundo, Kiora estava ansiosa para testar suas capacidades.",Espirais Esmagadoras,"Espirais Esmagadoras - Encantar criaturaA criatura encantada recebe -6/-0 e perde voar. Depois de se dar ao trabalho de roubar um bidente de um deus em outro mundo, Kiora estava ansiosa para testar suas capacidades."
U,Portuguese (Brazil),Feitiço,"Use vidência X, sendo X o custo de mana convertido mais alto dentre os das permanentes que você controla, e depois compre três cards.","""Você me fala da ameaça de Ulamog. Mas não se esqueça: eles vieram em três.""— Ugin, para Jace Beleren",Visão de Ugin,"Visão de Ugin - Use vidência X, sendo X o custo de mana convertido mais alto dentre os das permanentes que você controla, e depois compre três cards. ""Você me fala da ameaça de Ulamog. Mas não se esqueça: eles vieram em três.""— Ugin, para Jace Beleren"
U,Portuguese (Brazil),Criatura — Elemental,"VoarAterragem — Toda vez que um terreno entra no campo de batalha sob seu controle, Elemental Asa-de-onda recebe +2/+2 até o final do turno.","""Está vendo? Tazeem inteira está no limite.""— Noyan Dar, mago do turbilhão de Tazeem",Elemental Asa-de-onda,"Elemental Asa-de-onda - VoarAterragem — Toda vez que um terreno entra no campo de batalha sob seu controle, Elemental Asa-de-onda recebe +2/+2 até o final do turno. ""Está vendo? Tazeem inteira está no limite.""— Noyan Dar, mago do turbilhão de Tazeem"
B,Portuguese (Brazil),Mágica Instantânea,"Como custo adicional para conjurar Colheita do Altar, sacrifique uma criatura.Compre dois cards.","""Vou garantir minha vingança contra Zendikar uma alma por vez.""— Ob Nixilis",Colheita do Altar,"Colheita do Altar - Como custo adicional para conjurar Colheita do Altar, sacrifique uma criatura.Compre dois cards. ""Vou garantir minha vingança contra Zendikar uma alma por vez.""— Ob Nixilis"
B,Portuguese (Brazil),Criatura — Vampiro Xamã Aliado,"Toda vez que você ganhar pontos de vida, coloque um marcador +1/+1 em Vampiro do Elo de Sangue.","""Deixem que os vampiros se unam a nós. Nessa guerra, não podemos mais nos dar ao luxo de escolher nossos camaradas.""— General Tazri, comandante aliada",Vampiro do Elo de Sangue,"Vampiro do Elo de Sangue - Toda vez que você ganhar pontos de vida, coloque um marcador +1/+1 em Vampiro do Elo de Sangue. ""Deixem que os vampiros se unam a nós. Nessa guerra, não podemos mais nos dar ao luxo de escolher nossos camaradas.""— General Tazri, comandante aliada"
B,Portuguese (Brazil),Feitiço,"Como custo adicional para conjurar Estacas Ósseas, sacrifique uma criatura.Destrua a criatura alvo.","Muito inferiores em número, os zendikari encontraram formas criativas de equilibrar as coisas.",Estacas Ósseas,"Estacas Ósseas - Como custo adicional para conjurar Estacas Ósseas, sacrifique uma criatura.Destrua a criatura alvo. Muito inferiores em número, os zendikari encontraram formas criativas de equilibrar as coisas."
B,Portuguese (Brazil),Criatura — Vampiro,"Quando Cativo Portador morrer, coloque no campo de batalha uma ficha de criatura incolor 1/1 do tipo Rebento Eldrazi. Ela tem ""Sacrifique esta criatura: Adicione {1} à sua reserva de mana."".","""Vamos chorar por nossas perdas mais tarde. Primeiro precisamos acabar com seu sofrimento.""— Drana, grã-vampira Kalastria",Cativo Portador,"Cativo Portador - Quando Cativo Portador morrer, coloque no campo de batalha uma ficha de criatura incolor 1/1 do tipo Rebento Eldrazi. Ela tem ""Sacrifique esta criatura: Adicione {1} à sua reserva de mana."". ""Vamos chorar por nossas perdas mais tarde. Primeiro precisamos acabar com seu sofrimento.""— Drana, grã-vampira Kalastria"
B,Portuguese (Brazil),Criatura — Vampiro,"VoarToda vez que você ganha pontos de vida, o oponente alvo perde uma quantidade equivalente de pontos de vida.","""A despeito de sua bravata, os mortais são frágeis. Para que Zendikar resista, seus senhores precisam salvá-la.""— Drana, grã-vampira Kalastria",Senhor Vampiro Audaz,"Senhor Vampiro Audaz - VoarToda vez que você ganha pontos de vida, o oponente alvo perde uma quantidade equivalente de pontos de vida. ""A despeito de sua bravata, os mortais são frágeis. Para que Zendikar resista, seus senhores precisam salvá-la.""— Drana, grã-vampira Kalastria"
B,Portuguese (Brazil),Feitiço,A criatura alvo recebe -5/-5 até o final do turno.,"""Console-se com a ideia de que você não vai estar aqui para testemunhar o fim de Zendikar.""— Ob Nixilis",Garras do Demônio,"Garras do Demônio - A criatura alvo recebe -5/-5 até o final do turno. ""Console-se com a ideia de que você não vai estar aqui para testemunhar o fim de Zendikar.""— Ob Nixilis"
B,Portuguese (Brazil),Criatura Lendária — Vampiro Aliado,"Voar, iniciativaToda vez que Drana, Libertadora de Malakir, causar dano de combate a um jogador, coloque um marcador +1/+1 em cada criatura atacante que você controla.","""Eu não viverei como escrava. Se vocês preferem ser livres, lutem ao meu lado.""","Drana, Libertadora de Malakir","Drana, Libertadora de Malakir - Voar, iniciativaToda vez que Drana, Libertadora de Malakir, causar dano de combate a um jogador, coloque um marcador +1/+1 em cada criatura atacante que você controla. ""Eu não viverei como escrava. Se vocês preferem ser livres, lutem ao meu lado."""
B,Portuguese (Brazil),Feitiço,Devolva até dois cards de criatura alvo de seu cemitério para sua mão.,"Quando os cirurgiões de Malakir falharam, os xamãs da morte começaram a trabalhar.",Retorno Obediente,"Retorno Obediente - Devolva até dois cards de criatura alvo de seu cemitério para sua mão. Quando os cirurgiões de Malakir falharam, os xamãs da morte começaram a trabalhar."
B,Portuguese (Brazil),Criatura — Humano Assassino Aliado,{4}{B}: A criatura alvo recebe -1/-1 até o final do turno.,"""É difícil encontrar os pontos fracos deles, mas eu gosto muito do processo de descobri-los.""",Atiradora de Elite de Hagra,"Atiradora de Elite de Hagra - {4}{M}: A criatura alvo recebe -1/-1 até o final do turno. ""É difícil encontrar os pontos fracos deles, mas eu gosto muito do processo de descobri-los."""
B,Portuguese (Brazil),Criatura — Vampiro Clérigo Aliado,"Reunir — Toda vez que Curandeiro Kalastria ou outro Aliado entra no campo de batalha sob o seu controle, cada oponente perde 1 ponto de vida e você ganha 1 ponto de vida.","""Repetidas vezes demonstrei minha habilidade como curandeiro. Por que, então, você está tão tenso?""",Curandeiro Kalastria,"Curandeiro Kalastria - Reunir — Toda vez que Curandeiro Kalastria ou outro Aliado entra no campo de batalha sob o seu controle, cada oponente perde 1 ponto de vida e você ganha 1 ponto de vida. ""Repetidas vezes demonstrei minha habilidade como curandeiro. Por que, então, você está tão tenso?"""
B,Portuguese (Brazil),Criatura — Vampiro Guerreiro Aliado,"Toda vez que você ganha pontos de vida, Vigias Noturnos Kalastria ganha voar até o final do turno.","""Kalitas pode ter voltado à servidão mentecapta aos Eldrazi, mas nós não retornaremos jamais.""— Drana, grã-vampira Kalastria",Vigias Noturnos Kalastria,"Vigias Noturnos Kalastria - Toda vez que você ganha pontos de vida, Vigias Noturnos Kalastria ganha voar até o final do turno. ""Kalitas pode ter voltado à servidão mentecapta aos Eldrazi, mas nós não retornaremos jamais.""— Drana, grã-vampira Kalastria"
B,Portuguese (Brazil),Criatura — Morcego,"Voar, toque mortífer{T}oda vez que você ganha pontos de vida, Familiar de Malakir recebe +1/+1 até o final do turno.","""Eles são mortíferos e são leais. Podemos dividir um pouco de sangue com eles.""— Harak, bruxa sanguinária de Malakir",Familiar de Malakir,"Familiar de Malakir - Voar, toque mortífer{T}oda vez que você ganha pontos de vida, Familiar de Malakir recebe +1/+1 até o final do turno. ""Eles são mortíferos e são leais. Podemos dividir um pouco de sangue com eles.""— Harak, bruxa sanguinária de Malakir"
B,Portuguese (Brazil),Criatura — Vampiro Assassino Aliado,"Toda vez que você ganha pontos de vida, Assassino Nirkana ganha toque mortífero até o final do turno. (Qualquer quantidade de dano que ele cause a uma criatura é suficiente para destruí-la.)",Os assassinos Nirkana criam misturas incuráveis combinando medula de basilisco e seiva de salgueiro-da-morte com os fluidos vitais de uma dúzia de outras espécies venenosas.,Assassino Nirkana,"Assassino Nirkana - Toda vez que você ganha pontos de vida, Assassino Nirkana ganha toque mortífero até o final do turno. (Qualquer quantidade de dano que ele cause a uma criatura é suficiente para destruí-la.) Os assassinos Nirkana criam misturas incuráveis combinando medula de basilisco e seiva de salgueiro-da-morte com os fluidos vitais de uma dúzia de outras espécies venenosas."
B,Portuguese (Brazil),Feitiço,"Convergir — Você compra X cards e perde X pontos de vida, sendo X o número de cores de mana gasto para conjurar Verdades Dolorosas.","Conforme os Eldrazi se alastraram, nenhum segredo que pudesse dar alguma vantagem aos defensores de Zendikar foi considerado perigoso demais para ser investigado.",Verdades Dolorosas,"Verdades Dolorosas - Convergir — Você compra X cards e perde X pontos de vida, sendo X o número de cores de mana gasto para conjurar Verdades Dolorosas. Conforme os Eldrazi se alastraram, nenhum segredo que pudesse dar alguma vantagem aos defensores de Zendikar foi considerado perigoso demais para ser investigado."
B,Portuguese (Brazil),Encantamento,"{1}{B}, Sacrifique uma criatura: Você ganha 1 ponto de vida e compra um card.","Para os vampiros, há muito mais no sangue além da vida. Lembranças há muito perdidas nas mentes de grão-vampiros podem ser recuperadas nas veias de suas crias.",Ritos Vampíricos,"Ritos Vampíricos - {1}{M}, Sacrifique uma criatura: Você ganha 1 ponto de vida e compra um card. Para os vampiros, há muito mais no sangue além da vida. Lembranças há muito perdidas nas mentes de grão-vampiros podem ser recuperadas nas veias de suas crias."
B,Portuguese (Brazil),Criatura — Zumbi,"{1}{B}, Sacrifique outra criatura: Coloque dois marcadores +1/+1 em Nulo Voraz. Ative esta habilidade somente nos momentos em que poderia conjurar um feitiço.","""Hoje em dia não há escassez de comida para os nulos de Guul Draz.""— Drana, grã-vampira Kalastria",Nulo Voraz,"Nulo Voraz - {1}{M}, Sacrifique outra criatura: Coloque dois marcadores +1/+1 em Nulo Voraz. Ative esta habilidade somente nos momentos em que poderia conjurar um feitiço. ""Hoje em dia não há escassez de comida para os nulos de Guul Draz.""— Drana, grã-vampira Kalastria"
B,Portuguese (Brazil),Criatura — Humano Ladino Aliado,"Toda vez que Degolador de Zulaport ou outra criatura que você controla morre, cada oponente perde 1 ponto de vida e você ganha 1 ponto de vida.","""Eldrazi? Que nada! Tente andar por Zulaport à noite com os bolsos cheios. Isso sim é perigoso.""",Degolador de Zulaport,"Degolador de Zulaport - Toda vez que Degolador de Zulaport ou outra criatura que você controla morre, cada oponente perde 1 ponto de vida e você ganha 1 ponto de vida. ""Eldrazi? Que nada! Tente andar por Zulaport à noite com os bolsos cheios. Isso sim é perigoso."""
R,Portuguese (Brazil),Criatura — Vorme,"Aterragem — Toda vez que um terreno entra no campo de batalha sob seu controle, Cauda-de-chicote Belicoso ganha iniciativa até o final do turno.","""Os caudas-de-chicote conseguem sentir os passos de um viajante a uma grande distância. Medir essa distância tem sido... difícil.""— Jalun, sentinela de Affa",Cauda-de-chicote Belicoso,"Cauda-de-chicote Belicoso - Aterragem — Toda vez que um terreno entra no campo de batalha sob seu controle, Cauda-de-chicote Belicoso ganha iniciativa até o final do turno. ""Os caudas-de-chicote conseguem sentir os passos de um viajante a uma grande distância. Medir essa distância tem sido... difícil.""— Jalun, sentinela de Affa"
R,Portuguese (Brazil),Criatura — Goblin Batedor Aliado,"Reunir — Toda vez que Guia do Abismo ou outro Aliado entra no campo de batalha sob seu controle, as criaturas que você controla ganham ímpeto até o final do turno.",Com um único ato de bravura ela passou de descartável a indispensável.,Guia do Abismo,"Guia do Abismo - Reunir — Toda vez que Guia do Abismo ou outro Aliado entra no campo de batalha sob seu controle, as criaturas que você controla ganham ímpeto até o final do turno. Com um único ato de bravura ela passou de descartável a indispensável."
R,Portuguese (Brazil),Criatura — Humano Xamã,"No início de sua manutenção, se você controlar seis ou mais terrenos, coloque no campo de batalha uma ficha de criatura vermelha 5/5 do tipo Dragão com voar.","""Este mundo será governado por seus legítimos soberanos, e não por esses impostores horrendos.""",Pária Mestre de Dragões,"Pária Mestre de Dragões - No início de sua manutenção, se você controlar seis ou mais terrenos, coloque no campo de batalha uma ficha de criatura vermelha 5/5 do tipo Dragão com voar. ""Este mundo será governado por seus legítimos soberanos, e não por esses impostores horrendos."""
R,Portuguese (Brazil),Criatura — Humano Xamã Aliado,"Reunir — Toda vez que Mago do Manto Ígneo ou outro Aliado entra no campo de batalha sob seu controle, as criaturas que você controla ganham ameaçar até o final do turno. (Uma criatura com ameaçar só pode ser bloqueada por duas ou mais criaturas.)","""Venham, monstros deformes! Vocês não querem me conhecer melhor?""",Mago do Manto Ígneo,"Mago do Manto Ígneo - Reunir — Toda vez que Mago do Manto Ígneo ou outro Aliado entra no campo de batalha sob seu controle, as criaturas que você controla ganham ameaçar até o final do turno. (Uma criatura com ameaçar só pode ser bloqueada por duas ou mais criaturas.) ""Venham, monstros deformes! Vocês não querem me conhecer melhor?"""
R,Portuguese (Brazil),Encantamento — Aura,Encantar criaturaA criatura encantada recebe +2/+2 e tem ímpeto.,"""Os Eldrazi podem não se intimidar, mas, se isso aumenta a autoconfiança dos goblins, não vejo motivo para desencorajá-los.""— Jalun, sentinela de Affa",Pintura de Guerra Goblin,"Pintura de Guerra Goblin - Encantar criaturaA criatura encantada recebe +2/+2 e tem ímpeto. ""Os Eldrazi podem não se intimidar, mas, se isso aumenta a autoconfiança dos goblins, não vejo motivo para desencorajá-los.""— Jalun, sentinela de Affa"
R,Portuguese (Brazil),Criatura — Goblin Guerreiro,{2}{R}: Salteador Pisalava recebe +2/+0 até o final do turno.,"Os goblins foram os primeiros a ver o potencial dos edros na luta contra os Eldrazi, uma vez que as pedras mágicas são pontudas por natureza.",Salteador Pisalava,"Salteador Pisalava - {2}{M}: Salteador Pisalava recebe +2/+0 até o final do turno. Os goblins foram os primeiros a ver o potencial dos edros na luta contra os Eldrazi, uma vez que as pedras mágicas são pontudas por natureza."
R,Portuguese (Brazil),Criatura — Besta,"AtropelarAterragem — Toda vez que um terreno entra no campo de batalha sob seu controle, Galopa-avalanche de Makindi recebe +1/+1 até o final do turno.","Depois de uma batalha, ele esfrangalha as encostas criando fragmentos menores que serão usados na próxima.",Galopa-avalanche de Makindi,"Galopa-avalanche de Makindi - AtropelarAterragem — Toda vez que um terreno entra no campo de batalha sob seu controle, Galopa-avalanche de Makindi recebe +1/+1 até o final do turno. Depois de uma batalha, ele esfrangalha as encostas criando fragmentos menores que serão usados na próxima."
R,Portuguese (Brazil),Criatura — Minotauro Guerreiro Aliado,"Reunir — Toda vez que Campeão de Ondu ou outro Aliado entra no campo de batalha sob seu controle, as criaturas que você controla ganham atropelar até o final do turno.","""Basta pôr um minotauro na frente de um exército para que, de repente, todos os soldados ajam como se tivessem chifres.""— Gideon Jura",Campeão de Ondu,"Campeão de Ondu - Reunir — Toda vez que Campeão de Ondu ou outro Aliado entra no campo de batalha sob seu controle, as criaturas que você controla ganham atropelar até o final do turno. ""Basta pôr um minotauro na frente de um exército para que, de repente, todos os soldados ajam como se tivessem chifres.""— Gideon Jura"
R,Portuguese (Brazil),Mágica Instantânea,Suplantar em Número causa à criatura alvo uma quantidade de dano igual ao número de criaturas que você controla.,Todos ainda capazes de erguer uma arma tiveram seu papel na retomada do Portão Marinho.,Suplantar em Número,Suplantar em Número - Suplantar em Número causa à criatura alvo uma quantidade de dano igual ao número de criaturas que você controla. Todos ainda capazes de erguer uma arma tiveram seu papel na retomada do Portão Marinho.
R,Portuguese (Brazil),Feitiço,"Convergir — Chamas Radiantes causa X pontos de dano a cada criatura, sendo X o número de cores de mana gasto para conjurar Chamas Radiantes.",Os fogos de Zendikar estão sempre famintos e não lhes faltam alimentos.,Chamas Radiantes,"Chamas Radiantes - Convergir — Chamas Radiantes causa X pontos de dano a cada criatura, sendo X o número de cores de mana gasto para conjurar Chamas Radiantes. Os fogos de Zendikar estão sempre famintos e não lhes faltam alimentos."
R,Portuguese (Brazil),Criatura — Humano Guerreiro Aliado,Coorte Temerária ataca a cada combate se estiver apta a menos que você controle outro Aliado.,"""Você tem família. A minha morreu no Portão Marinho. Você vai para a sua e eu vou para a minha.""",Coorte Temerária,"Coorte Temerária - Coorte Temerária ataca a cada combate se estiver apta a menos que você controle outro Aliado. ""Você tem família. A minha morreu no Portão Marinho. Você vai para a sua e eu vou para a minha."""
R,Portuguese (Brazil),Feitiço,Trovoada Ribombante causa X pontos de dano distribuídos à sua escolha entre qualquer número de criaturas e/ou jogadores alvo.,"""Zendikar está sempre furiosa, embora eu nunca tenha visto essa fúria direcionada com tanta precisão.""— Nablus, armadilheiro de Hada do Norte",Trovoada Ribombante,"Trovoada Ribombante - Trovoada Ribombante causa X pontos de dano distribuídos à sua escolha entre qualquer número de criaturas e/ou jogadores alvo. ""Zendikar está sempre furiosa, embora eu nunca tenha visto essa fúria direcionada com tanta precisão.""— Nablus, armadilheiro de Hada do Norte"
R,Portuguese (Brazil),Criatura — Gigante Guerreiro Aliado,Ameaçar (Esta criatura só pode ser bloqueada por duas ou mais criaturas.),"Salvo da morte certa pelos kor, ele se considera ligado a eles por um laço de sangue inquebrável.",Recruta de Quebra-crânio,"Recruta de Quebra-crânio - Ameaçar (Esta criatura só pode ser bloqueada por duas ou mais criaturas.) Salvo da morte certa pelos kor, ele se considera ligado a eles por um laço de sangue inquebrável."
R,Portuguese (Brazil),Mágica Instantânea,Litofúria causa à criatura alvo uma quantidade de dano igual ao número de terrenos que você controla.,Akoum consegue fazer qualquer intruso parecer pequeno.,Litofúria,Litofúria - Litofúria causa à criatura alvo uma quantidade de dano igual ao número de terrenos que você controla. Akoum consegue fazer qualquer intruso parecer pequeno.
R,Portuguese (Brazil),Mágica Instantânea,A criatura alvo recebe +3/+0 e ganha iniciativa até o final do turno.,"Às vezes, para sobreviver a um fim iminente, é necessário ter uma alma temerária que aja primeiro e tema depois.",Golpe Certeiro,"Golpe Certeiro - A criatura alvo recebe +3/+0 e ganha iniciativa até o final do turno. Às vezes, para sobreviver a um fim iminente, é necessário ter uma alma temerária que aja primeiro e tema depois."
R,Portuguese (Brazil),Criatura — Inseto,"Aterragem — Toda vez que um terreno entra no campo de batalha sob seu controle, Geopede Tunelador causa 1 ponto de dano a cada oponente.","À medida que a linhagem de Ulamog reduz a terra a pó, os geopedes irrompem de seus túneis em busca de chão sólido.",Geopede Tunelador,"Geopede Tunelador - Aterragem — Toda vez que um terreno entra no campo de batalha sob seu controle, Geopede Tunelador causa 1 ponto de dano a cada oponente. À medida que a linhagem de Ulamog reduz a terra a pó, os geopedes irrompem de seus túneis em busca de chão sólido."
R,Portuguese (Brazil),Criatura — Humano Xamã,{8}: Invocador de Valakut causa 3 pontos de dano à criatura ou ao jogador alvo.,"""Desde que andamos por este mundo sabemos que ele é um lugar severo e impiedoso.""— Os Contos do Invocador",Invocador de Valakut,"Invocador de Valakut - {8}: Invocador de Valakut causa 3 pontos de dano à criatura ou ao jogador alvo. ""Desde que andamos por este mundo sabemos que ele é um lugar severo e impiedoso.""— Os Contos do Invocador"
R,Portuguese (Brazil),Criatura — Elemental,"Aterragem — Toda vez que um terreno entra no campo de batalha sob seu controle, Predador de Valakut recebe +2/+2 até o final do turno.","""O que quer que os vulcões sonhem, eles sempre acordam mal-humorados.""— Raff Papalesma, atalhadeiro goblin",Predador de Valakut,"Predador de Valakut - Aterragem — Toda vez que um terreno entra no campo de batalha sob seu controle, Predador de Valakut recebe +2/+2 até o final do turno. ""O que quer que os vulcões sonhem, eles sempre acordam mal-humorados.""— Raff Papalesma, atalhadeiro goblin"
R,Portuguese (Brazil),Mágica Instantânea,Destrua o terreno alvo.,"Como um organismo vivo, Zendikar se livra de infecções, e o faz abrupta e impiedosamente.",Sublevação Vulcânica,"Sublevação Vulcânica - Destrua o terreno alvo. Como um organismo vivo, Zendikar se livra de infecções, e o faz abrupta e impiedosamente."
R,Portuguese (Brazil),Criatura Lendária — Goblin Aliado,"Toda vez que você conjurar uma mágica instantânea ou um feitiço que tenha apenas Zada, Moedora de Edros, como alvo, copie aquela mágica para cada outra criatura que você controla que a mágica pudesse ter como alvo. Cada cópia tem uma criatura diferente como alvo.","""Um edro armazena magia por mil anos — ou menos, se necessário.""","Zada, Moedora de Edros","Zada, Moedora de Edros - Toda vez que você conjurar uma mágica instantânea ou um feitiço que tenha apenas Zada, Moedora de Edros, como alvo, copie aquela mágica para cada outra criatura que você controla que a mágica pudesse ter como alvo. Cada cópia tem uma criatura diferente como alvo. ""Um edro armazena magia por mil anos — ou menos, se necessário."""
G,Portuguese (Brazil),Criatura — Elfo Xamã Aliado,Ímpeto{T}: Adicione um mana de qualquer cor à sua reserva de mana. Gaste este mana somente para conjurar mágicas de criatura.,"""Elas vêm porque eu chamo. Elas ficam porque eu escuto.""",Sábio Convocador de Feras,"Sábio Convocador de Feras - Ímpeto{T}: Adicione um mana de qualquer cor à sua reserva de mana. Gaste este mana somente para conjurar mágicas de criatura. ""Elas vêm porque eu chamo. Elas ficam porque eu escuto."""
G,Portuguese (Brazil),Criatura — Inseto,Alcance (Esta criatura pode bloquear criaturas com voar.),"""Eu sempre pensei que os grandes insetos de Tazeem eram assustadores... até ver os Eldrazi. Agora eu sinto alívio quando vejo mantídeos empoleirados no topo das árvores.""— Ryza, batedora de Oran-Rief",Mantídeo Gigante,"Mantídeo Gigante - Alcance (Esta criatura pode bloquear criaturas com voar.) ""Eu sempre pensei que os grandes insetos de Tazeem eram assustadores... até ver os Eldrazi. Agora eu sinto alívio quando vejo mantídeos empoleirados no topo das árvores.""— Ryza, batedora de Oran-Rief"
G,Portuguese (Brazil),Mágica Instantânea,"Convergir — Coloque X marcadores +1/+1 na criatura alvo, sendo X o número de cores de mana gasto para conjurar Infundir com os Elementos. Aquela criatura ganha atropelar até o final do turno.","""Zendikar nos deu as armas para guerrear na escala certa.""— Najiya, líder dos Tajuru",Infundir com os Elementos,"Infundir com os Elementos - Convergir — Coloque X marcadores +1/+1 na criatura alvo, sendo X o número de cores de mana gasto para conjurar Infundir com os Elementos. Aquela criatura ganha atropelar até o final do turno. ""Zendikar nos deu as armas para guerrear na escala certa.""— Najiya, líder dos Tajuru"
G,Portuguese (Brazil),Criatura — Planta,"DefensorAterragem — Toda vez que um terreno entra no campo de batalha sob seu controle, você ganha 1 ponto de vida.","Em Murasa, até nas árvores crescem árvores.",Ramificação de Jaddi,"Ramificação de Jaddi - DefensorAterragem — Toda vez que um terreno entra no campo de batalha sob seu controle, você ganha 1 ponto de vida. Em Murasa, até nas árvores crescem árvores."
G,Portuguese (Brazil),Criatura — Elfo Druida,{T}: Adicione um mana de qualquer cor à sua reserva de mana.,"""A terra não está morta, só doente. Eu vou cuidar dela até que ela melhore.""",Druida da Fonte Vital,"Druida da Fonte Vital - {T}: Adicione um mana de qualquer cor à sua reserva de mana. ""A terra não está morta, só doente. Eu vou cuidar dela até que ela melhore."""
G,Portuguese (Brazil),Criatura — Humano Guerreiro,"Aterragem — Toda vez que um terreno entra no campo de batalha sob seu controle, você pode pagar {3}{G}. Se fizer isso, coloque dois marcadores +1/+1 em Patrulheiro de Murasa.","""Se vocês não estão preparados para lutar, é melhor estarem preparados para morrer.""",Patrulheiro de Murasa,"Patrulheiro de Murasa - Aterragem — Toda vez que um terreno entra no campo de batalha sob seu controle, você pode pagar {3}{M}. Se fizer isso, coloque dois marcadores +1/+1 em Patrulheiro de Murasa. ""Se vocês não estão preparados para lutar, é melhor estarem preparados para morrer."""
G,Portuguese (Brazil),Mágica Instantânea,"Procure um card de terreno básico em seu grimório, coloque-o no campo de batalha virado e depois embaralhe seu grimório.","""Zendikar não se renderá. Também não podemos nos render.""",Conexão Natural,"Conexão Natural - Procure um card de terreno básico em seu grimório, coloque-o no campo de batalha virado e depois embaralhe seu grimório. ""Zendikar não se renderá. Também não podemos nos render."""
